age,annual_income,education_years,work_experience_years,credit_score,loan_amount,loan_duration_months,interest_rate,debt_to_income_ratio,monthly_expenses,savings_balance,investment_balance,number_of_dependents,employment_stability_years,housing_status_score,marital_status_score,health_risk_index,insurance_coverage_score,spending_score,online_activity_score,device_usage_hours,location_risk_index,previous_default_count,financial_literacy_score,loan_default
40,74820.19582233061,14,23,682.3517970252415,57621.336125982,60,4.406007663738894,0.7030128813447831,1803.2397576932335,24167.64523655568,39493.27722905429,5,21,4,1,0.47888197312606007,4,31,33,0.6287077734621166,0.16868856108188102,1,56,0
39,81184.75512050709,9,13,723.6717505241802,25042.56751607857,12,10.634849912365038,0.8682827481612839,2789.3905296182106,22359.862696433876,41601.68126652071,5,13,2,2,0.654610820566595,3,23,97,1.6032413873590494,6.819238885835688e-05,0,54,0
53,88331.93024139202,9,7,729.7828876169868,25139.1205068486,60,9.430299881749907,0.6075832890334217,1820.3116974090703,15369.619128052944,19260.80706532348,4,25,3,3,0.4081036654743767,5,61,30,11.996000684317483,0.7760089409002352,1,79,0
37,74762.31647374047,17,23,660.4814300037048,34209.4354240266,36,4.63956939544207,0.7588305628135429,3191.4575723834387,12341.987959572703,28475.345659302962,3,11,3,2,0.719447648953816,4,96,96,7.27705512625391,0.5427757030013469,0,48,0
26,42375.97823828776,17,25,659.6097139698377,28166.679583376237,12,8.9565161618373,0.8565603889262345,2177.126735258061,20887.242131988005,38079.11376103697,1,23,5,2,0.7565360601497892,5,28,46,4.709911255821276,0.7442100202589592,0,99,0
53,37619.80168850288,17,31,646.8296175798359,14062.99805912597,24,3.1862982585423882,0.13706209812417022,2216.2365411349588,20134.602865959496,29903.486335498477,5,17,4,2,0.7936614157821441,5,38,11,4.303706633977949,0.12756340203750682,1,26,0
51,68426.32697115275,16,13,620.2572494118219,21325.408350971877,36,8.580490587093173,0.22258507127963317,2064.651174888606,19985.85247950733,25635.997402448855,5,25,4,3,0.0744117355065258,3,20,61,1.779140422039976,0.8135383335554531,0,56,0
32,50945.6510261488,11,17,661.1017305771385,8129.044827420537,48,11.714031740586108,0.37056979925801725,2804.350250572652,12646.671087924175,7592.444043459778,2,11,3,3,0.7906719875813043,3,100,16,4.500538888629413,0.30323097482811356,1,26,0
49,55644.257857528195,10,5,607.0671082365875,32870.46950781322,12,17.534542726596676,0.0559189772392558,2107.75097805574,12353.058993428886,20314.621580078092,5,23,3,2,0.7003930645114868,1,8,100,5.291902596390183,0.918840423572965,0,28,0
22,78683.3599592948,11,14,621.0057507165918,29068.05662343222,24,12.029759435554686,0.8164333440342312,2915.1446274482223,19676.853953807316,32388.50270494276,5,29,1,1,0.5592474353562664,1,16,88,2.8242040923324048,0.9964777691784481,1,20,0
56,70080.40234078243,17,34,639.7360809036365,51975.752895407684,48,13.903475398086337,0.15789955626947447,3057.816361749216,39713.540284883,24542.166432004968,0,5,1,2,0.1661088994662705,3,73,56,0.5594851517040834,0.799514546870385,0,78,0
46,85842.68940148143,15,30,727.9000070945101,36855.063386580536,12,9.582388275619634,0.8592490740541012,1525.2860335564287,2825.5680003958987,7545.8255784124685,2,12,3,2,0.5990566120105676,4,37,2,11.452390519811514,0.2511287146813951,0,90,0
40,63191.80609243641,11,6,662.2324145525089,10195.514228807742,60,9.026732841474566,0.2678524696455198,1504.0668716236614,0.0,25146.19728901545,1,6,1,2,0.8252719364989589,3,55,65,3.665896593935733,0.25754126856204496,0,38,0
52,71194.80649222858,12,19,700.8378002955304,18300.18897996335,24,5.432401879463203,0.7744531970998987,2605.590688490383,9299.211943339847,0.0,3,2,5,1,0.16496933454562168,3,43,53,8.181303956544799,0.5872762960357722,1,73,0
18,31808.425835198756,14,3,675.0283785272179,29440.24271445276,36,5.394528957164939,0.7496847766478587,2845.4439814541083,1687.3752533182524,12209.64123073835,3,1,5,2,0.10286245677286687,5,51,32,7.328065803782509,0.28672833932810693,2,25,0
50,65455.29776108131,14,23,693.2807282541653,40284.64793150752,12,16.83406594415463,0.40559879481835265,2989.5424252708026,18206.440764171468,19503.310387110934,5,28,3,1,0.9024883051748296,5,12,51,5.134507734932212,0.03970917695867071,0,41,0
62,64302.3150537415,10,35,667.9352023959535,34902.68968281486,48,7.141606739129395,0.6007739566523697,1776.109983652449,20194.852576661822,13860.912652364706,1,28,5,1,0.6995072421345038,5,25,48,9.231869927113681,0.5293277158229801,0,37,0
26,55650.07312738397,17,14,713.7234951693031,1000.0,12,6.065378430945421,0.692615011752495,2421.0033271568923,8416.275908588934,30817.646856916115,4,0,5,3,0.6750193038916257,2,47,98,2.5516270587182146,0.5381782402243991,0,16,0
34,51135.00787072264,14,3,656.6408754930799,21915.386754816023,48,7.752974326155541,0.2443212312579091,2568.0377813677947,15393.38501582957,10350.099234669064,0,15,4,1,0.8586677921516978,5,65,22,8.380634803658506,0.5358124929227223,1,89,0
